[VERSION] relay_gui v2.6 (strtrim-protected, per-line catch)
[1] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[2] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[3] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[4] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[5] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[6] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[7] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[8] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[9] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[10] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[11] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[12] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[13] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[14] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[15] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[16] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[17] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[18] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[19] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[20] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[21] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[22] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[23] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[24] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[25] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[26] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[27] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[28] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[29] P|0.00,-65.51,-88.11,0.00,0.00,0.00
[30] P|0.00,-65.51,-88.11,0.00,0.00,0.00
