P| 共 14281 条

########## 窗口 23:08:57 .. 23:09:27 ##########
  样本 66 条
  t           Rx      Ry      Rz   |  Δ(deg)  轴(器件系)                | 轴(世界系)
  23:09:20.003   -67.45   10.78  -35.96  |    1.73  (-0.20,+0.01,-0.98)   (-0.74,-0.57,-0.34)
  23:09:20.353   -65.73   15.04  -33.73  |    4.94  (+0.25,-0.06,+0.97)   (+0.77,+0.51,+0.37)
  23:09:20.691   -62.23   23.01  -28.56  |    9.52  (+0.19,-0.09,+0.98)   (+0.73,+0.54,+0.42)
  23:09:21.021   -55.79   33.53  -19.08  |   13.55  (+0.14,-0.13,+0.98)   (+0.70,+0.54,+0.47)
  23:09:21.375   -45.22   41.19   -6.90  |   12.72  (+0.25,-0.21,+0.95)   (+0.78,+0.44,+0.45)
  23:09:21.713   -52.38   34.58  -16.31  |   10.02  (-0.14,+0.12,-0.98)   (-0.69,-0.53,-0.50)
  23:09:21.997   -60.71   24.92  -26.73  |   13.58  (-0.23,+0.17,-0.96)   (-0.76,-0.47,-0.46)
  23:09:22.352   -68.32   14.54  -35.32  |   13.96  (-0.33,+0.20,-0.92)   (-0.82,-0.37,-0.43)
  23:09:23.029   -67.01   17.84  -33.39  |    3.86  (+0.20,-0.12,+0.97)   (+0.75,+0.52,+0.40)
  23:09:23.382   -61.06   27.90  -25.60  |   12.69  (+0.23,-0.16,+0.96)   (+0.77,+0.48,+0.43)
  23:09:23.685   -60.18   28.83  -24.74  |    1.29  (+0.37,-0.16,+0.92)   (+0.85,+0.40,+0.34)
  23:09:25.088   -23.97   22.42    5.10  |   35.79  (+0.63,-0.64,+0.44)   (+0.87,-0.33,+0.37)
  23:09:25.391   -24.82    0.49    4.10  |   21.96  (-0.03,-0.89,-0.45)   (+0.04,-1.00,-0.04)
  23:09:26.108   -19.93   14.30   33.96  |   32.61  (+0.03,+0.04,+1.00)   (+0.00,+0.45,+0.89)
  23:09:26.410   -24.92   12.54   29.91  |    5.92  (-0.68,-0.02,-0.73)   (-0.54,-0.69,-0.49)
  23:09:26.761   -33.15    4.48   15.85  |   17.19  (-0.35,-0.01,-0.93)   (-0.26,-0.62,-0.74)

########## 窗口 23:11:13 .. 23:12:01 ##########
  样本 100 条
  t           Rx      Ry      Rz   |  Δ(deg)  轴(器件系)                | 轴(世界系)
  23:11:13.413   -22.49   34.41    3.55
  23:11:13.839   -19.96   34.20    4.76  |    2.11  (+0.88,-0.26,+0.41)   (+0.99,-0.03,-0.10)
  23:11:14.319   -22.39   35.03    3.00  |    2.20  (-0.65,+0.59,-0.48)   (-0.93,+0.32,-0.17)
  23:11:14.695   -22.84   35.43    2.71  |    0.54  (-0.52,+0.85,-0.12)   (-0.71,+0.70,-0.06)
