t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
7490734,-0.191,-0.380,-0.113,-0.009,0.002,0.004,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7490781,-0.189,-0.378,-0.140,-0.010,0.002,0.004,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7490859,-0.127,-0.430,0.074,-0.012,0.000,-0.005,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491000,-0.098,-0.442,0.167,-0.013,-0.000,-0.009,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491093,-0.129,-0.442,0.121,-0.012,0.000,-0.008,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491203,-0.140,-0.457,0.096,-0.012,0.000,-0.007,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491281,-0.128,-0.455,0.098,-0.012,-0.000,-0.007,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491375,-0.159,-0.423,0.006,-0.012,0.000,-0.003,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491453,-0.196,-0.397,-0.135,-0.011,0.001,0.002,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491531,-0.185,-0.405,-0.061,-0.010,0.001,0.000,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491640,-0.164,-0.427,0.116,-0.010,0.000,-0.005,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491750,-0.180,-0.431,0.100,-0.011,0.001,-0.006,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491890,-0.201,-0.401,0.044,-0.010,0.002,-0.004,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491937,-0.169,-0.395,0.105,-0.010,0.001,-0.005,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7491984,-0.148,-0.417,0.135,-0.011,0.000,-0.006,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7492062,-0.183,-0.404,0.089,-0.010,0.001,-0.003,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7492203,-0.204,-0.406,0.020,-0.009,0.002,0.001,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7492296,-0.201,-0.426,-0.069,-0.010,0.002,0.003,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7492406,-0.200,-0.431,-0.095,-0.011,0.001,0.001,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7492484,-0.189,-0.451,0.011,-0.011,0.001,-0.002,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7492578,-0.160,-0.462,0.115,-0.012,0.001,-0.006,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7492656,-0.153,-0.432,0.076,-0.013,0.000,-0.005,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7492734,-0.167,-0.410,0.006,-0.013,0.000,-0.002,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7492843,-0.156,-0.435,0.044,-0.013,0.000,-0.005,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7492953,-0.139,-0.439,-0.017,-0.012,0.000,-0.004,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493093,-0.156,-0.402,-0.223,-0.012,0.000,0.002,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493140,-0.150,-0.393,-0.142,-0.013,0.001,-0.000,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493187,-0.106,-0.408,0.052,-0.013,0.000,-0.006,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493265,-0.125,-0.421,-0.000,-0.013,0.000,-0.004,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493406,-0.170,-0.427,-0.042,-0.012,0.000,-0.002,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493500,-0.173,-0.419,0.002,-0.012,0.001,-0.003,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493609,-0.171,-0.409,-0.026,-0.013,0.001,-0.003,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493687,-0.165,-0.411,-0.001,-0.013,0.001,-0.004,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493781,-0.165,-0.404,0.126,-0.011,0.001,-0.006,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493859,-0.183,-0.389,0.108,-0.010,0.002,-0.004,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7493937,-0.160,-0.410,0.048,-0.010,0.001,-0.004,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7494046,-0.142,-0.425,0.027,-0.010,-0.001,-0.005,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7494156,-0.184,-0.406,-0.082,-0.009,0.001,-0.002,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7494296,-0.208,-0.410,-0.173,-0.011,0.002,-0.001,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7494343,-0.171,-0.430,-0.098,-0.014,0.000,-0.005,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7494390,-0.129,-0.447,0.108,-0.013,0.000,-0.008,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7494468,-0.127,-0.447,0.194,-0.011,0.001,-0.008,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7494718,-0.131,-0.444,0.130,-0.011,0.002,-0.007,-126.631,-236.096,366.884,-174.305,1.490,115.309,1,0.0000,0.0000,0.0000,1
7494812,-0.146,-0.427,0.138,-0.014,0.002,-0.007,-126.591,-236.101,366.882,-174.318,1.495,115.313,1,0.0017,-0.0002,-0.0001,1
7494890,-0.178,-0.369,0.111,-0.017,0.003,-0.004,-126.591,-236.101,366.882,-174.318,1.495,115.313,1,0.0039,-0.0005,-0.0002,1
7495046,-0.166,-0.364,-0.007,-0.014,0.003,-0.001,-126.590,-236.101,366.882,-174.319,1.496,115.313,1,0.0026,-0.0003,-0.0001,1
7495156,-0.129,-0.438,0.032,-0.011,-0.001,-0.006,-126.590,-236.101,366.882,-174.319,1.496,115.313,1,-0.0001,0.0000,0.0000,1
7495234,-0.125,-0.491,0.147,-0.010,-0.001,-0.010,-126.590,-236.101,366.882,-174.319,1.496,115.313,1,-0.0015,0.0002,0.0001,1
7495281,-0.155,-0.470,0.084,-0.009,0.001,-0.007,-126.590,-236.101,366.882,-174.319,1.496,115.313,1,-0.0019,0.0002,0.0001,1
7495359,-0.161,-0.428,-0.044,-0.011,-0.000,-0.003,-126.590,-236.101,366.882,-174.319,1.496,115.313,1,-0.0018,0.0002,0.0001,1
7495515,-0.156,-0.409,-0.062,-0.012,-0.000,-0.001,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,-0.0014,0.0002,0.0001,1
7495625,-0.175,-0.392,-0.035,-0.012,-0.001,-0.000,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,-0.0009,0.0001,0.0000,1
7495734,-0.185,-0.405,-0.049,-0.011,-0.001,-0.001,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,-0.0005,0.0001,0.0000,1
7495875,-0.176,-0.437,-0.153,-0.011,0.001,0.000,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,-0.0003,0.0000,0.0000,1
7495921,-0.118,-0.475,-0.110,-0.013,0.000,-0.003,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,-0.0001,0.0000,-0.0000,1
7495968,-0.041,-0.508,0.098,-0.014,-0.002,-0.012,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,0.0000,0.0000,-0.0000,1
7496062,-0.045,-0.481,0.155,-0.012,-0.001,-0.013,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,0.0001,0.0000,0.0000,1
7496203,-0.114,-0.440,0.084,-0.011,-0.000,-0.008,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,0.0001,-0.0000,0.0000,1
7496281,-0.154,-0.445,0.040,-0.012,-0.000,-0.006,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,0.0001,-0.0000,0.0000,1
7496328,-0.172,-0.449,0.046,-0.011,0.001,-0.005,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,0.0001,-0.0000,-0.0000,1
7496406,-0.188,-0.448,0.062,-0.011,0.002,-0.004,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,0.0000,-0.0000,-0.0000,1
7496484,-0.153,-0.462,0.091,-0.012,0.001,-0.007,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,0.0000,-0.0000,-0.0000,1
7496578,-0.115,-0.459,0.108,-0.012,-0.000,-0.010,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,0.0000,-0.0000,0.0000,1
7496671,-0.147,-0.421,0.083,-0.010,0.001,-0.006,-126.589,-236.102,366.882,-174.319,1.496,115.313,1,-0.0000,0.0000,0.0000,1
