t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still
6714968,-0.252,-0.197,0.010,-0.006,0.009,-0.003,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6715015,-0.247,-0.348,0.049,0.005,0.010,-0.002,-110.400,-220.100,403.640,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6715093,-0.107,-0.296,0.085,0.003,0.009,-0.003,-107.776,-224.740,404.723,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6715234,-0.255,0.044,-0.083,-0.028,0.009,-0.002,-107.776,-224.740,404.723,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6715328,-0.106,-0.271,0.100,-0.006,0.016,-0.004,-102.967,-231.415,408.658,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6715437,0.107,-0.335,0.134,-0.003,0.017,-0.004,-102.967,-231.415,408.658,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6715515,-0.050,0.037,0.023,-0.013,0.013,-0.003,-108.285,-242.801,415.954,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6715593,-0.198,-0.175,-0.008,-0.007,0.002,-0.004,-108.285,-242.801,415.954,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6715671,-0.069,-0.229,0.008,-0.006,0.014,-0.003,-117.810,-252.242,420.351,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,1
6715750,-0.231,-0.136,0.010,-0.012,0.005,-0.004,-117.810,-252.242,420.351,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,0
6715859,-0.420,-0.082,-0.041,-0.010,-0.012,-0.004,-126.974,-260.722,421.618,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,0
6715968,-0.129,-0.150,-0.111,-0.003,0.005,-0.003,-126.974,-260.722,421.618,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,0
6716109,-0.114,-0.122,0.101,-0.011,0.003,-0.002,-125.640,-262.233,408.518,179.470,-2.580,-117.430,1,0.0000,0.0000,0.0000,0
6716156,-0.159,-0.194,0.031,-0.009,0.005,-0.003,-125.640,-262.233,408.518,179.470,-2.580,-117.430,1,0.0061,0.0040,-0.0083,0
6716203,-0.223,-0.257,0.063,-0.008,0.004,-0.003,-125.640,-262.233,408.518,179.470,-2.580,-117.430,1,0.0061,0.0040,-0.0083,0
6716281,-0.235,-0.218,0.220,-0.009,0.006,-0.002,-122.376,-260.596,400.761,179.470,-2.580,-117.345,1,0.0061,0.0040,-0.0083,0
6716421,-0.182,-0.179,0.099,-0.004,0.004,-0.003,-122.376,-260.596,400.761,179.470,-2.580,-117.345,1,0.0232,0.0183,-0.0191,0
6716515,-0.232,-0.360,0.220,-0.006,0.007,-0.003,-115.933,-258.111,401.626,179.470,-2.580,-117.372,1,0.0426,0.0368,-0.0041,0
6716625,-0.192,-0.152,0.144,-0.008,0.007,-0.004,-115.933,-258.111,401.626,179.470,-2.580,-117.372,1,0.0426,0.0368,-0.0041,0
6716703,-0.293,-0.278,0.124,-0.006,0.002,-0.004,-108.276,-255.483,414.380,179.470,-2.580,-117.365,1,0.0426,0.0368,-0.0041,0
