t_ms,Fx,Fy,Fz,Mx,My,Mz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,ff_enabled,acc_x,acc_y,acc_z,is_still,raw_x,raw_y,raw_z
10915906,0.068,0.138,-0.083,0.000,0.001,0.001,-109.193,-196.809,365.673,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.360,-2.810,4.660
10915984,0.002,0.179,-0.056,0.004,0.002,0.002,-111.426,-200.811,359.664,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.460,-2.840,4.770
10916062,-0.168,0.098,-0.039,0.004,0.006,0.002,-111.426,-200.811,359.664,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,1,-18.440,-2.970,4.940
10916171,0.049,0.073,-0.043,-0.000,0.001,0.000,-115.061,-203.937,349.089,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,0,-18.660,-2.590,4.830
10916281,0.020,0.066,-0.067,0.001,0.005,0.001,-115.061,-203.937,349.089,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,0,-18.500,-3.010,4.770
10916421,-0.141,0.088,0.335,0.004,-0.007,0.002,-122.941,-208.549,329.489,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,0,-18.400,-3.330,4.980
10916468,-0.198,0.058,0.239,0.006,-0.008,0.001,-122.941,-208.549,329.489,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,0,-18.260,-3.140,4.930
10916515,-0.061,0.053,0.097,0.004,-0.000,-0.001,-122.941,-208.549,329.489,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,0,-18.560,-2.850,4.920
10916593,-0.035,0.110,0.001,0.002,0.002,0.000,-123.410,-208.850,329.020,-174.030,-3.800,-116.530,1,0.0000,0.0000,0.0000,0,-18.490,-2.980,4.580
10916734,-0.030,0.090,-0.043,0.003,0.003,0.002,-123.410,-208.850,329.020,-174.030,-3.800,-116.530,1,0.0116,0.0067,0.0298,0,-18.510,-2.900,4.650
10916828,-0.020,0.101,-0.025,0.002,0.001,0.001,-123.410,-208.850,329.020,-174.030,-3.800,-116.530,1,0.0116,0.0067,0.0298,0,-18.350,-3.040,5.000
10916937,0.118,0.032,-0.059,0.005,0.009,0.000,-123.410,-208.850,329.020,-174.030,-3.800,-116.530,1,0.0116,0.0067,0.0298,0,-18.210,-3.070,4.780
10917015,0.118,-0.077,-0.078,0.004,0.013,0.002,-125.991,-212.269,329.002,-174.030,-3.800,-116.530,1,0.0116,0.0067,0.0298,0,-18.010,-3.260,4.740
10917109,0.041,0.000,-0.045,0.003,0.003,0.001,-125.991,-212.269,329.002,-174.030,-3.800,-116.530,1,0.0377,0.0214,0.0988,0,-18.450,-3.310,5.170
10917187,-0.006,-0.065,-0.089,0.002,0.005,0.002,-134.149,-224.112,329.166,-174.030,-3.800,-116.530,1,0.0453,0.0167,0.1448,0,-18.050,-3.070,4.820
10917265,-0.045,0.016,-0.102,0.003,0.000,0.002,-134.149,-224.112,329.166,-174.030,-3.800,-116.530,1,0.0453,0.0167,0.1448,0,-18.380,-3.290,5.110
10917375,-0.024,-0.039,-0.114,0.001,0.001,0.002,-142.427,-238.294,328.788,-174.030,-3.800,-116.530,1,0.0226,-0.0195,0.1406,0,-18.210,-3.030,4.930
10917484,-0.048,0.180,-0.184,-0.003,0.000,0.002,-142.427,-238.294,328.788,-174.030,-3.800,-116.530,1,0.0226,-0.0195,0.1406,0,-18.790,-2.860,4.830
10917625,-0.056,-0.031,-0.134,-0.002,-0.004,0.000,-152.333,-255.529,316.866,-174.030,-3.800,-116.530,1,0.0226,-0.0195,0.1406,0,-18.520,-2.790,5.170
10917671,0.023,0.045,-0.108,0.001,-0.004,0.001,-152.333,-255.529,316.866,-174.030,-3.800,-116.530,1,-0.0029,-0.0561,0.1036,0,-18.630,-2.880,4.860
10917718,0.055,0.073,-0.031,0.003,-0.003,0.000,-152.333,-255.529,316.866,-174.030,-3.800,-116.530,1,-0.0029,-0.0561,0.1036,0,-18.520,-2.790,4.670
10917796,0.009,0.098,-0.038,0.001,-0.005,-0.001,-155.451,-261.543,302.278,-174.030,-3.800,-116.530,1,-0.0029,-0.0561,0.1036,0,-17.900,-3.200,4.880
10917937,0.038,0.077,0.249,0.004,-0.001,-0.000,-155.451,-261.543,302.278,-174.030,-3.800,-116.530,1,-0.0065,-0.0537,0.0462,0,-18.220,-3.090,5.400
10918031,-0.042,0.159,0.180,-0.000,-0.004,0.000,-156.752,-265.931,288.895,-174.030,-3.800,-116.530,1,0.0150,-0.0076,-0.0053,0,-18.420,-2.870,5.110
10918125,0.004,0.093,-0.054,0.004,0.002,0.001,-156.752,-265.931,288.895,-174.030,-3.800,-116.530,1,0.0150,-0.0076,-0.0053,0,-18.420,-2.830,4.990
10918203,-0.002,0.112,0.034,0.002,0.001,-0.001,-156.800,-265.980,288.850,-174.030,-3.800,-116.530,1,0.0150,-0.0076,-0.0053,0,-18.470,-2.820,5.050
10918296,-0.032,0.130,-0.003,0.004,0.002,0.001,-156.800,-265.980,288.850,-174.030,-3.800,-116.530,1,0.0385,0.0422,-0.0166,0,-18.270,-3.040,5.040
10918375,-0.016,0.109,0.045,0.002,0.000,-0.002,-156.800,-265.980,288.850,-174.030,-3.800,-116.530,1,0.0385,0.0422,-0.0166,0,-18.330,-2.900,5.010
10918453,0.084,0.184,-0.121,0.002,0.007,0.001,-156.800,-265.980,288.850,-174.030,-3.800,-116.530,1,0.0385,0.0422,-0.0166,0,-18.330,-2.810,4.360
10918562,-0.022,-0.069,-0.100,0.011,0.011,0.001,-158.999,-268.312,285.944,-174.030,-3.800,-116.530,1,0.0466,0.0692,0.0108,0,-18.410,-2.870,4.560
10918687,-0.016,-0.063,-0.007,0.002,0.003,0.001,-158.999,-268.312,285.944,-174.030,-3.800,-116.530,1,0.0466,0.0692,0.0108,0,-18.280,-3.030,4.910
10918828,-0.111,0.186,-0.042,-0.005,-0.008,-0.000,-166.799,-285.313,271.194,-174.030,-3.800,-116.530,1,0.0466,0.0692,0.0108,0,-18.200,-2.880,5.450
10918875,-0.067,0.152,-0.047,-0.004,-0.005,-0.001,-166.799,-285.313,271.194,-174.030,-3.800,-116.530,1,0.0381,0.0633,0.0272,0,-18.390,-3.010,4.950
10918921,-0.064,0.122,-0.013,-0.002,-0.006,-0.000,-166.799,-285.313,271.194,-174.030,-3.800,-116.530,1,0.0381,0.0633,0.0272,0,-18.300,-2.940,4.910
10919000,-0.055,0.183,0.039,-0.001,-0.003,-0.001,-169.278,-289.437,259.191,-174.030,-3.800,-116.530,1,0.0381,0.0633,0.0272,0,-18.490,-3.110,4.650
10919140,-0.023,0.111,0.045,0.005,0.002,0.000,-169.278,-289.437,259.191,-174.030,-3.800,-116.530,1,0.0270,0.0487,0.0180,0,-18.680,-2.800,5.170
